"id","name","division","category","background","task","input_format","constraints","sample_input","sample_output","test1_input","test1_output","test2_input","test2_output","test3_input","test3_output","test4_input","test4_output","test5_input","test5_output","test6_input","test6_output","test7_input","test7_output","test8_input","test8_output","test9_input","test9_output","test10_input","test10_output","test11_input","test11_output","test12_input","test12_output"
"M-011-2","Safe Circular Balance Start Planner","Master","Greedy","A rotation chooses a starting position in a circular list. A start is safe when every running sum around one full cycle stays nonnegative.","Print the smallest safe 0-based start index, or -1 if none exists. Print only the requested result.","Line 1: N.
Line 2: N signed balances.","1 <= N <= 200000
balances: -10^9 to 10^9","1
0","0","1
0","0","2
1 -1","0","3
1 2 -3","0","4
2 -3 2 -1","2","3
5 -6 1","2","4
1 1 -1 -1","0","4
3 -4 2 -1","2","4
2 -1 -1 1","0","1
6","0","2
3 -3","0","3
-1 3 -4","-1","5
6 -3 -4 0 -3","-1"
"M-011-3","Safe Circular Balance Start Checkpoint","Master","Greedy","A rotation chooses a starting position in a circular list. A start is safe when every running sum around one full cycle stays nonnegative.","Print the smallest safe 0-based start index, or -1 if none exists. Treat every input independently.","Line 1: N.
Line 2: N signed balances.","1 <= N <= 200000
balances: -10^9 to 10^9","1
0","0","1
0","0","2
1 -1","0","3
1 2 -3","0","4
2 -3 2 -1","2","3
5 -6 1","2","4
1 1 -1 -1","0","4
3 -4 2 -1","2","4
2 -1 -1 1","0","1
6","0","2
2 -6","-1","3
-3 -1 6","2","5
5 4 3 -2 -6","0"
"M-011-4","Safe Circular Balance Start Tracker","Master","Greedy","A rotation chooses a starting position in a circular list. A start is safe when every running sum around one full cycle stays nonnegative.","Print the smallest safe 0-based start index, or -1 if none exists. Keep the format unchanged.","Line 1: N.
Line 2: N signed balances.","1 <= N <= 200000
balances: -10^9 to 10^9","1
0","0","1
0","0","2
1 -1","0","3
1 2 -3","0","4
2 -3 2 -1","2","3
5 -6 1","2","4
1 1 -1 -1","0","4
3 -4 2 -1","2","4
2 -1 -1 1","0","1
4","0","2
6 2","0","3
4 5 -5","0","5
6 4 4 3 3","0"
"M-011-5","Safe Circular Balance Start Verifier","Master","Greedy","A rotation chooses a starting position in a circular list. A start is safe when every running sum around one full cycle stays nonnegative.","Print the smallest safe 0-based start index, or -1 if none exists. Use the same definition throughout.","Line 1: N.
Line 2: N signed balances.","1 <= N <= 200000
balances: -10^9 to 10^9","1
0","0","1
0","0","2
1 -1","0","3
1 2 -3","0","4
2 -3 2 -1","2","3
5 -6 1","2","4
1 1 -1 -1","0","4
3 -4 2 -1","2","4
2 -1 -1 1","0","2
3 -3","0","3
6 -5 1","0","5
-5 -2 4 -5 -1","-1","1
-4","-1"
"M-012-1","Smallest Limited-Swap String","Master","Greedy","One adjacent swap exchanges neighboring characters. You may use at most K swaps to make the string as lexicographically small as possible.","Print the smallest obtainable string. Follow the stated tie rule.","Line 1: string S.
Line 2: K.","1 <= |S| <= 200000
0 <= K <= 10^9
lowercase English letters","a
0","a","a
0","a","cba
1","bca","cba
2","acb","dcba
3","adcb","baca
2","abac","leetcode
5","celetode","aaaa
3","aaaa","zxy
1","xzy","c
1","c","bbb
2","bbb","zcbz
2","bzcz","aabzca
4","aaabcz"
"M-012-2","Smallest Limited-Swap String Planner","Master","Greedy","One adjacent swap exchanges neighboring characters. You may use at most K swaps to make the string as lexicographically small as possible.","Print the smallest obtainable string. Print only the requested result.","Line 1: string S.
Line 2: K.","1 <= |S| <= 200000
0 <= K <= 10^9
lowercase English letters","a
0","a","a
0","a","cba
1","bca","cba
2","acb","dcba
3","adcb","baca
2","abac","leetcode
5","celetode","aaaa
3","aaaa","zxy
1","xzy","a
6","a","ccb
6","bcc","zazb
5","abzz","baccaz
2","abcacz"
"M-012-3","Smallest Limited-Swap String Checkpoint","Master","Greedy","One adjacent swap exchanges neighboring characters. You may use at most K swaps to make the string as lexicographically small as possible.","Print the smallest obtainable string. Treat every input independently.","Line 1: string S.
Line 2: K.","1 <= |S| <= 200000
0 <= K <= 10^9
lowercase English letters","a
0","a","a
0","a","cba
1","bca","cba
2","acb","dcba
3","adcb","baca
2","abac","leetcode
5","celetode","aaaa
3","aaaa","zxy
1","xzy","z
3","z","zbb
4","bbz","zcbb
1","czbb","ababcc
4","aabbcc"
"M-012-4","Smallest Limited-Swap String Tracker","Master","Greedy","One adjacent swap exchanges neighboring characters. You may use at most K swaps to make the string as lexicographically small as possible.","Print the smallest obtainable string. Keep the format unchanged.","Line 1: string S.
Line 2: K.","1 <= |S| <= 200000
0 <= K <= 10^9
lowercase English letters","a
0","a","a
0","a","cba
1","bca","cba
2","acb","dcba
3","adcb","baca
2","abac","leetcode
5","celetode","aaaa
3","aaaa","zxy
1","xzy","z
6","z","aac
1","aac","cbaa
0","cbaa","bazzab
4","aabzzb"
"M-012-5","Smallest Limited-Swap String Verifier","Master","Greedy","One adjacent swap exchanges neighboring characters. You may use at most K swaps to make the string as lexicographically small as possible.","Print the smallest obtainable string. Use the same definition throughout.","Line 1: string S.
Line 2: K.","1 <= |S| <= 200000
0 <= K <= 10^9
lowercase English letters","a
0","a","a
0","a","cba
1","bca","cba
2","acb","dcba
3","adcb","baca
2","abac","leetcode
5","celetode","aaaa
3","aaaa","zxy
1","xzy","c
5","c","ccb
2","bcc","baab
2","aabb","zazzaz
6","aazzzz"
"M-013-1","Maximum Selection Score","Master","Greedy","Choose exactly K matching positions. The score is the sum of chosen A values multiplied by the smallest chosen B value.","Print the largest possible score. Follow the stated tie rule.","Line 1: N K.
Line 2: A values.
Line 3: B values.","1 <= K <= N <= 200000
values: 0 to 10^9
use 64-bit output","1 1
1
2","2","1 1
1
2","2","4 2
1 3 3 2
2 1 3 4","15","5 3
4 2 3 1 1
7 5 10 9 6","56","2 1
5 5
1 2","10","3 2
1 2 3
3 2 1","6","3 2
10 1 1
1 10 10","20","3 2
2 2 2
2 2 2","8","4 3
8 3 5 7
4 8 1 6","72","1 1
10
7","70","2 2
6 5
10 5","55","4 4
6 11 0 0
8 1 1 0","0","6 6
11 4 2 7 4 2
2 12 0 7 3 6","0"
"M-013-2","Maximum Selection Score Planner","Master","Greedy","Choose exactly K matching positions. The score is the sum of chosen A values multiplied by the smallest chosen B value.","Print the largest possible score. Print only the requested result.","Line 1: N K.
Line 2: A values.
Line 3: B values.","1 <= K <= N <= 200000
values: 0 to 10^9
use 64-bit output","1 1
1
2","2","1 1
1
2","2","4 2
1 3 3 2
2 1 3 4","15","5 3
4 2 3 1 1
7 5 10 9 6","56","2 1
5 5
1 2","10","3 2
1 2 3
3 2 1","6","3 2
10 1 1
1 10 10","20","3 2
2 2 2
2 2 2","8","4 3
8 3 5 7
4 8 1 6","72","1 1
10
8","80","2 1
12 2
4 12","48","4 2
11 11 8 8
8 0 2 3","57","6 6
0 3 4 11 3 5
1 10 1 8 6 2","26"
"M-013-3","Maximum Selection Score Checkpoint","Master","Greedy","Choose exactly K matching positions. The score is the sum of chosen A values multiplied by the smallest chosen B value.","Print the largest possible score. Treat every input independently.","Line 1: N K.
Line 2: A values.
Line 3: B values.","1 <= K <= N <= 200000
values: 0 to 10^9
use 64-bit output","1 1
1
2","2","1 1
1
2","2","4 2
1 3 3 2
2 1 3 4","15","5 3
4 2 3 1 1
7 5 10 9 6","56","2 1
5 5
1 2","10","3 2
1 2 3
3 2 1","6","3 2
10 1 1
1 10 10","20","3 2
2 2 2
2 2 2","8","4 3
8 3 5 7
4 8 1 6","72","1 1
0
8","0","2 2
4 6
11 7","70","4 4
5 2 7 9
11 8 7 1","23","6 6
4 9 5 3 12 0
4 1 6 0 12 7","0"
"M-013-4","Maximum Selection Score Tracker","Master","Greedy","Choose exactly K matching positions. The score is the sum of chosen A values multiplied by the smallest chosen B value.","Print the largest possible score. Keep the format unchanged.","Line 1: N K.
Line 2: A values.
Line 3: B values.","1 <= K <= N <= 200000
values: 0 to 10^9
use 64-bit output","1 1
1
2","2","1 1
1
2","2","4 2
1 3 3 2
2 1 3 4","15","5 3
4 2 3 1 1
7 5 10 9 6","56","2 1
5 5
1 2","10","3 2
1 2 3
3 2 1","6","3 2
10 1 1
1 10 10","20","3 2
2 2 2
2 2 2","8","4 3
8 3 5 7
4 8 1 6","72","1 1
8
11","88","2 1
4 0
5 9","20","4 4
12 0 0 0
10 0 3 4","0","6 1
3 2 3 10 8 0
3 5 2 10 10 5","100"
"M-013-5","Maximum Selection Score Verifier","Master","Greedy","Choose exactly K matching positions. The score is the sum of chosen A values multiplied by the smallest chosen B value.","Print the largest possible score. Use the same definition throughout.","Line 1: N K.
Line 2: A values.
Line 3: B values.","1 <= K <= N <= 200000
values: 0 to 10^9
use 64-bit output","1 1
1
2","2","1 1
1
2","2","4 2
1 3 3 2
2 1 3 4","15","5 3
4 2 3 1 1
7 5 10 9 6","56","2 1
5 5
1 2","10","3 2
1 2 3
3 2 1","6","3 2
10 1 1
1 10 10","20","3 2
2 2 2
2 2 2","8","4 3
8 3 5 7
4 8 1 6","72","1 1
6
8","48","2 2
7 7
5 10","70","4 3
7 8 8 9
7 3 8 11","168","6 1
0 7 1 4 8 3
4 10 3 6 12 8","96"
"M-014-1","Minimum Adjacent Palindrome Merges","Master","Greedy","An adjacent merge replaces two neighboring positive numbers by their sum. A sequence is palindromic when it reads the same forward and backward.","Print the minimum adjacent merges needed to make the sequence palindromic. Follow the stated tie rule.","Line 1: N.
Line 2: N positive integers.","1 <= N <= 200000
values: 1 to 10^9","1
1","0","1
1","0","2
1 2","1","4
1 4 5 1","1","4
11 14 15 99","3","4
1 3 2 1","1","3
5 5 5","0","4
2 1 3 2","1","5
7 1 2 3 7","1","1
8","0","2
9 3","1","4
9 2 4 9","1","5
4 2 8 2 9","4"
"M-014-2","Minimum Adjacent Palindrome Merges Planner","Master","Greedy","An adjacent merge replaces two neighboring positive numbers by their sum. A sequence is palindromic when it reads the same forward and backward.","Print the minimum adjacent merges needed to make the sequence palindromic. Print only the requested result.","Line 1: N.
Line 2: N positive integers.","1 <= N <= 200000
values: 1 to 10^9","1
1","0","1
1","0","2
1 2","1","4
1 4 5 1","1","4
11 14 15 99","3","4
1 3 2 1","1","3
5 5 5","0","4
2 1 3 2","1","5
7 1 2 3 7","1","1
6","0","2
9 4","1","4
9 9 5 1","3","5
9 8 6 7 8","4"
"M-014-3","Minimum Adjacent Palindrome Merges Checkpoint","Master","Greedy","An adjacent merge replaces two neighboring positive numbers by their sum. A sequence is palindromic when it reads the same forward and backward.","Print the minimum adjacent merges needed to make the sequence palindromic. Treat every input independently.","Line 1: N.
Line 2: N positive integers.","1 <= N <= 200000
values: 1 to 10^9","1
1","0","1
1","0","2
1 2","1","4
1 4 5 1","1","4
11 14 15 99","3","4
1 3 2 1","1","3
5 5 5","0","4
2 1 3 2","1","5
7 1 2 3 7","1","1
8","0","2
9 3","1","4
7 7 1 4","3","5
1 6 9 4 5","4"
"M-014-4","Minimum Adjacent Palindrome Merges Tracker","Master","Greedy","An adjacent merge replaces two neighboring positive numbers by their sum. A sequence is palindromic when it reads the same forward and backward.","Print the minimum adjacent merges needed to make the sequence palindromic. Keep the format unchanged.","Line 1: N.
Line 2: N positive integers.","1 <= N <= 200000
values: 1 to 10^9","1
1","0","1
1","0","2
1 2","1","4
1 4 5 1","1","4
11 14 15 99","3","4
1 3 2 1","1","3
5 5 5","0","4
2 1 3 2","1","5
7 1 2 3 7","1","1
2","0","2
4 9","1","4
2 3 2 7","2","5
3 1 7 9 7","4"
"M-014-5","Minimum Adjacent Palindrome Merges Verifier","Master","Greedy","An adjacent merge replaces two neighboring positive numbers by their sum. A sequence is palindromic when it reads the same forward and backward.","Print the minimum adjacent merges needed to make the sequence palindromic. Use the same definition throughout.","Line 1: N.
Line 2: N positive integers.","1 <= N <= 200000
values: 1 to 10^9","1
1","0","1
1","0","2
1 2","1","4
1 4 5 1","1","4
11 14 15 99","3","4
1 3 2 1","1","3
5 5 5","0","4
2 1 3 2","1","5
7 1 2 3 7","1","1
5","0","2
9 6","1","4
8 9 3 7","3","5
6 2 6 1 6","2"
"M-015-1","Minimum Absolute Deviation","Master","Arrays","For a chosen integer X, total absolute deviation is the sum of |value-X|. Any median minimizes this total.","Print the minimum possible total absolute deviation. Follow the stated tie rule.","Line 1: N.
Line 2: N integers.","1 <= N <= 200000
values: -10^9 to 10^9
use 64-bit total","1
1","0","1
1","0","2
1 2","1","3
1 10 2","9","3
5 5 5","0","3
-5 0 5","10","4
1 2 3 4","4","3
10 -10 0","20","5
7 1 9 3 5","12","1
-4","0","2
-6 -4","2","4
4 8 5 -9","18","6
8 7 2 -6 2 -1","22"
"M-015-2","Minimum Absolute Deviation Planner","Master","Arrays","For a chosen integer X, total absolute deviation is the sum of |value-X|. Any median minimizes this total.","Print the minimum possible total absolute deviation. Print only the requested result.","Line 1: N.
Line 2: N integers.","1 <= N <= 200000
values: -10^9 to 10^9
use 64-bit total","1
1","0","1
1","0","2
1 2","1","3
1 10 2","9","3
5 5 5","0","3
-5 0 5","10","4
1 2 3 4","4","3
10 -10 0","20","5
7 1 9 3 5","12","1
7","0","2
-9 -5","4","4
-2 6 -6 3","17","6
-2 5 9 -2 3 -9","30"
"M-015-3","Minimum Absolute Deviation Checkpoint","Master","Arrays","For a chosen integer X, total absolute deviation is the sum of |value-X|. Any median minimizes this total.","Print the minimum possible total absolute deviation. Treat every input independently.","Line 1: N.
Line 2: N integers.","1 <= N <= 200000
values: -10^9 to 10^9
use 64-bit total","1
1","0","1
1","0","2
1 2","1","3
1 10 2","9","3
5 5 5","0","3
-5 0 5","10","4
1 2 3 4","4","3
10 -10 0","20","5
7 1 9 3 5","12","1
7","0","2
3 -6","9","4
-4 5 8 5","12","6
9 -8 8 8 -4 1","36"
"M-015-4","Minimum Absolute Deviation Tracker","Master","Arrays","For a chosen integer X, total absolute deviation is the sum of |value-X|. Any median minimizes this total.","Print the minimum possible total absolute deviation. Keep the format unchanged.","Line 1: N.
Line 2: N integers.","1 <= N <= 200000
values: -10^9 to 10^9
use 64-bit total","1
1","0","1
1","0","2
1 2","1","3
1 10 2","9","3
5 5 5","0","3
-5 0 5","10","4
1 2 3 4","4","3
10 -10 0","20","5
7 1 9 3 5","12","1
8","0","2
-4 5","9","4
9 2 -8 -9","28","6
-7 9 4 4 6 4","18"
"M-015-5","Minimum Absolute Deviation Verifier","Master","Arrays","For a chosen integer X, total absolute deviation is the sum of |value-X|. Any median minimizes this total.","Print the minimum possible total absolute deviation. Use the same definition throughout.","Line 1: N.
Line 2: N integers.","1 <= N <= 200000
values: -10^9 to 10^9
use 64-bit total","1
1","0","1
1","0","2
1 2","1","3
1 10 2","9","3
5 5 5","0","3
-5 0 5","10","4
1 2 3 4","4","3
10 -10 0","20","5
7 1 9 3 5","12","1
-6","0","2
-3 9","12","4
0 6 8 -7","21","6
-3 7 3 1 7 -4","23"
"M-016-1","Permutation Minimum Swaps","Master","Graphs","A permutation contains each number 1 through N once. One swap may exchange any two positions.","Print the minimum swaps needed to sort the permutation into 1 through N. Follow the stated tie rule.","Line 1: N.
Line 2: a permutation.","1 <= N <= 200000
values: 1 to N","1
1","0","1
1","0","2
2 1","1","3
2 3 1","2","4
4 3 2 1","2","4
1 2 3 4","0","5
3 1 2 5 4","3","4
2 1 4 3","2","5
5 1 2 3 4","4","6
3 6 1 4 5 2","2","2
1 2","0","4
2 4 1 3","3","6
5 2 1 4 3 6","2"
"M-016-2","Permutation Minimum Swaps Planner","Master","Graphs","A permutation contains each number 1 through N once. One swap may exchange any two positions.","Print the minimum swaps needed to sort the permutation into 1 through N. Print only the requested result.","Line 1: N.
Line 2: a permutation.","1 <= N <= 200000
values: 1 to N","1
1","0","1
1","0","2
2 1","1","3
2 3 1","2","4
4 3 2 1","2","4
1 2 3 4","0","5
3 1 2 5 4","3","4
2 1 4 3","2","5
5 1 2 3 4","4","2
1 2","0","4
2 4 3 1","2","6
2 1 4 3 5 6","2","6
1 4 6 5 2 3","3"
"M-016-3","Permutation Minimum Swaps Checkpoint","Master","Graphs","A permutation contains each number 1 through N once. One swap may exchange any two positions.","Print the minimum swaps needed to sort the permutation into 1 through N. Treat every input independently.","Line 1: N.
Line 2: a permutation.","1 <= N <= 200000
values: 1 to N","1
1","0","1
1","0","2
2 1","1","3
2 3 1","2","4
4 3 2 1","2","4
1 2 3 4","0","5
3 1 2 5 4","3","4
2 1 4 3","2","5
5 1 2 3 4","4","2
1 2","0","4
1 2 4 3","1","6
3 1 6 5 4 2","4","6
6 2 4 3 5 1","2"
"M-016-4","Permutation Minimum Swaps Tracker","Master","Graphs","A permutation contains each number 1 through N once. One swap may exchange any two positions.","Print the minimum swaps needed to sort the permutation into 1 through N. Keep the format unchanged.","Line 1: N.
Line 2: a permutation.","1 <= N <= 200000
values: 1 to N","1
1","0","1
1","0","2
2 1","1","3
2 3 1","2","4
4 3 2 1","2","4
1 2 3 4","0","5
3 1 2 5 4","3","4
2 1 4 3","2","5
5 1 2 3 4","4","2
1 2","0","4
1 2 4 3","1","6
4 6 2 3 5 1","4","6
3 2 5 4 1 6","2"
"M-016-5","Permutation Minimum Swaps Verifier","Master","Graphs","A permutation contains each number 1 through N once. One swap may exchange any two positions.","Print the minimum swaps needed to sort the permutation into 1 through N. Use the same definition throughout.","Line 1: N.
Line 2: a permutation.","1 <= N <= 200000
values: 1 to N","1
1","0","1
1","0","2
2 1","1","3
2 3 1","2","4
4 3 2 1","2","4
1 2 3 4","0","5
3 1 2 5 4","3","4
2 1 4 3","2","5
5 1 2 3 4","4","4
1 3 4 2","2","6
2 1 4 6 3 5","4","4
3 1 2 4","2","6
3 1 2 5 4 6","3"
"M-017-1","Next-Pointer Cycle Entry","Master","Two Pointers","Each node points to one next node, or 0 for no next node. Starting at node 1, a cycle entry is the first node that belongs to the repeated loop.","Print the cycle entry node, or 0 if the walk reaches 0. Follow the stated tie rule.","Line 1: N.
Line 2: next pointers for nodes 1 through N.","1 <= N <= 200000
each pointer: 0 to N","1
0","0","1
0","0","2
1 0","1","3
2 3 2","2","4
2 3 4 2","2","3
0 0 0","0","2
2 1","1","5
2 3 4 5 3","3","4
1 2 3 4","1","1
1","1","2
2 2","2","4
4 0 1 2","0","6
2 5 5 0 5 5","5"
"M-017-2","Next-Pointer Cycle Entry Planner","Master","Two Pointers","Each node points to one next node, or 0 for no next node. Starting at node 1, a cycle entry is the first node that belongs to the repeated loop.","Print the cycle entry node, or 0 if the walk reaches 0. Print only the requested result.","Line 1: N.
Line 2: next pointers for nodes 1 through N.","1 <= N <= 200000
each pointer: 0 to N","1
0","0","1
0","0","2
1 0","1","3
2 3 2","2","4
2 3 4 2","2","3
0 0 0","0","2
2 1","1","5
2 3 4 5 3","3","4
1 2 3 4","1","2
0 2","0","4
4 4 2 2","4","6
1 3 1 5 6 6","1","1
1","1"
"M-017-3","Next-Pointer Cycle Entry Checkpoint","Master","Two Pointers","Each node points to one next node, or 0 for no next node. Starting at node 1, a cycle entry is the first node that belongs to the repeated loop.","Print the cycle entry node, or 0 if the walk reaches 0. Treat every input independently.","Line 1: N.
Line 2: next pointers for nodes 1 through N.","1 <= N <= 200000
each pointer: 0 to N","1
0","0","1
0","0","2
1 0","1","3
2 3 2","2","4
2 3 4 2","2","3
0 0 0","0","2
2 1","1","5
2 3 4 5 3","3","4
1 2 3 4","1","4
1 4 1 3","1","6
2 2 0 1 3 5","2","2
2 2","2","4
0 4 3 2","0"
"M-017-4","Next-Pointer Cycle Entry Tracker","Master","Two Pointers","Each node points to one next node, or 0 for no next node. Starting at node 1, a cycle entry is the first node that belongs to the repeated loop.","Print the cycle entry node, or 0 if the walk reaches 0. Keep the format unchanged.","Line 1: N.
Line 2: next pointers for nodes 1 through N.","1 <= N <= 200000
each pointer: 0 to N","1
0","0","1
0","0","2
1 0","1","3
2 3 2","2","4
2 3 4 2","2","3
0 0 0","0","2
2 1","1","5
2 3 4 5 3","3","4
1 2 3 4","1","2
1 1","1","4
2 3 0 1","0","6
0 4 6 4 2 4","0","2
0 0","0"
"M-017-5","Next-Pointer Cycle Entry Verifier","Master","Two Pointers","Each node points to one next node, or 0 for no next node. Starting at node 1, a cycle entry is the first node that belongs to the repeated loop.","Print the cycle entry node, or 0 if the walk reaches 0. Use the same definition throughout.","Line 1: N.
Line 2: next pointers for nodes 1 through N.","1 <= N <= 200000
each pointer: 0 to N","1
0","0","1
0","0","2
1 0","1","3
2 3 2","2","4
2 3 4 2","2","3
0 0 0","0","2
2 1","1","5
2 3 4 5 3","3","4
1 2 3 4","1","1
1","1","2
1 1","1","4
4 4 3 0","0","6
1 0 4 6 0 0","1"
"M-018-1","Tree Path XOR Pair Count","Master","Trees","The XOR of a tree path combines its edge labels. Each unordered pair of different nodes determines one unique path.","Count node pairs whose path XOR equals K. Follow the stated tie rule.","Line 1: N K.
Next N-1 lines: u v edgeXor.","1 <= N <= 200000
edge labels and K: 0 to 2^30-1","2 5
1 2 5","1","2 5
1 2 5","1","3 3
1 2 1
2 3 2","1","3 0
1 2 1
1 3 1","1","4 0
1 2 3
2 3 3
3 4 3","2","1 0
","0","4 3
1 2 1
1 3 2
1 4 3","2","5 4
1 2 4
2 3 1
2 4 5
4 5 1","3","3 0
1 2 0
2 3 0","3","1 1","0","2 7
1 2 5","0","4 4
1 2 6
2 3 3
2 4 0","0","5 2
1 2 7
1 3 5
3 4 7
1 5 4","2"
"M-018-2","Tree Path XOR Pair Count Planner","Master","Trees","The XOR of a tree path combines its edge labels. Each unordered pair of different nodes determines one unique path.","Count node pairs whose path XOR equals K. Print only the requested result.","Line 1: N K.
Next N-1 lines: u v edgeXor.","1 <= N <= 200000
edge labels and K: 0 to 2^30-1","2 5
1 2 5","1","2 5
1 2 5","1","3 3
1 2 1
2 3 2","1","3 0
1 2 1
1 3 1","1","4 0
1 2 3
2 3 3
3 4 3","2","1 0
","0","4 3
1 2 1
1 3 2
1 4 3","2","5 4
1 2 4
2 3 1
2 4 5
4 5 1","3","3 0
1 2 0
2 3 0","3","1 3","0","2 5
1 2 2","0","4 4
1 2 7
2 3 0
1 4 4","1","5 5
1 2 6
2 3 3
3 4 3
1 5 7","1"
"M-018-3","Tree Path XOR Pair Count Checkpoint","Master","Trees","The XOR of a tree path combines its edge labels. Each unordered pair of different nodes determines one unique path.","Count node pairs whose path XOR equals K. Treat every input independently.","Line 1: N K.
Next N-1 lines: u v edgeXor.","1 <= N <= 200000
edge labels and K: 0 to 2^30-1","2 5
1 2 5","1","2 5
1 2 5","1","3 3
1 2 1
2 3 2","1","3 0
1 2 1
1 3 1","1","4 0
1 2 3
2 3 3
3 4 3","2","1 0
","0","4 3
1 2 1
1 3 2
1 4 3","2","5 4
1 2 4
2 3 1
2 4 5
4 5 1","3","3 0
1 2 0
2 3 0","3","1 2","0","2 7
1 2 0","0","4 0
1 2 5
1 3 1
3 4 7","0","5 3
1 2 2
2 3 7
1 4 7
2 5 0","0"
"M-018-4","Tree Path XOR Pair Count Tracker","Master","Trees","The XOR of a tree path combines its edge labels. Each unordered pair of different nodes determines one unique path.","Count node pairs whose path XOR equals K. Keep the format unchanged.","Line 1: N K.
Next N-1 lines: u v edgeXor.","1 <= N <= 200000
edge labels and K: 0 to 2^30-1","2 5
1 2 5","1","2 5
1 2 5","1","3 3
1 2 1
2 3 2","1","3 0
1 2 1
1 3 1","1","4 0
1 2 3
2 3 3
3 4 3","2","1 0
","0","4 3
1 2 1
1 3 2
1 4 3","2","5 4
1 2 4
2 3 1
2 4 5
4 5 1","3","3 0
1 2 0
2 3 0","3","1 3","0","2 6
1 2 6","1","4 0
1 2 7
2 3 0
1 4 2","1","5 7
1 2 3
1 3 7
3 4 6
3 5 1","2"
"M-018-5","Tree Path XOR Pair Count Verifier","Master","Trees","The XOR of a tree path combines its edge labels. Each unordered pair of different nodes determines one unique path.","Count node pairs whose path XOR equals K. Use the same definition throughout.","Line 1: N K.
Next N-1 lines: u v edgeXor.","1 <= N <= 200000
edge labels and K: 0 to 2^30-1","2 5
1 2 5","1","2 5
1 2 5","1","3 3
1 2 1
2 3 2","1","3 0
1 2 1
1 3 1","1","4 0
1 2 3
2 3 3
3 4 3","2","1 0
","0","4 3
1 2 1
1 3 2
1 4 3","2","5 4
1 2 4
2 3 1
2 4 5
4 5 1","3","3 0
1 2 0
2 3 0","3","1 6","0","2 2
1 2 1","0","4 2
1 2 1
2 3 1
1 4 1","0","5 1
1 2 5
1 3 3
1 4 6
4 5 2","1"
"M-019-1","Unique Topological Order","Master","Graphs","A topological order lists directed prerequisites before what depends on them. The order is unique only when every step has exactly one available next node.","Print YES if the directed graph has exactly one topological order; otherwise print NO. Follow the stated tie rule.","Line 1: N M.
Next M lines: directed edge u v.","1 <= N <= 200000
0 <= M <= 300000
node labels: 1 to N","1 0
","YES","1 0
","YES","2 1
1 2","YES","2 0
","NO","3 2
1 2
2 3","YES","3 2
1 3
2 3","NO","3 2
1 2
2 1","NO","4 4
1 2
1 3
2 4
3 4","NO","4 3
1 2
2 3
3 4","YES","1 4
1 1
1 1
1 1
1 1","NO","2 2
2 2
1 2","NO","3 4
1 1
3 1
1 1
1 2","NO","5 4
1 2
1 2
3 5
1 3","NO"
"M-019-2","Unique Topological Order Planner","Master","Graphs","A topological order lists directed prerequisites before what depends on them. The order is unique only when every step has exactly one available next node.","Print YES if the directed graph has exactly one topological order; otherwise print NO. Print only the requested result.","Line 1: N M.
Next M lines: directed edge u v.","1 <= N <= 200000
0 <= M <= 300000
node labels: 1 to N","1 0
","YES","1 0
","YES","2 1
1 2","YES","2 0
","NO","3 2
1 2
2 3","YES","3 2
1 3
2 3","NO","3 2
1 2
2 1","NO","4 4
1 2
1 3
2 4
3 4","NO","4 3
1 2
2 3
3 4","YES","1 2
1 1
1 1","NO","3 1
3 3","NO","5 3
3 1
4 5
1 4","NO","1 3
1 1
1 1
1 1","NO"
"M-019-3","Unique Topological Order Checkpoint","Master","Graphs","A topological order lists directed prerequisites before what depends on them. The order is unique only when every step has exactly one available next node.","Print YES if the directed graph has exactly one topological order; otherwise print NO. Treat every input independently.","Line 1: N M.
Next M lines: directed edge u v.","1 <= N <= 200000
0 <= M <= 300000
node labels: 1 to N","1 0
","YES","1 0
","YES","2 1
1 2","YES","2 0
","NO","3 2
1 2
2 3","YES","3 2
1 3
2 3","NO","3 2
1 2
2 1","NO","4 4
1 2
1 3
2 4
3 4","NO","4 3
1 2
2 3
3 4","YES","2 1
2 1","YES","3 2
2 3
3 3","NO","5 3
2 4
3 3
3 4","NO","1 3
1 1
1 1
1 1","NO"
"M-019-4","Unique Topological Order Tracker","Master","Graphs","A topological order lists directed prerequisites before what depends on them. The order is unique only when every step has exactly one available next node.","Print YES if the directed graph has exactly one topological order; otherwise print NO. Keep the format unchanged.","Line 1: N M.
Next M lines: directed edge u v.","1 <= N <= 200000
0 <= M <= 300000
node labels: 1 to N","1 0
","YES","1 0
","YES","2 1
1 2","YES","2 0
","NO","3 2
1 2
2 3","YES","3 2
1 3
2 3","NO","3 2
1 2
2 1","NO","4 4
1 2
1 3
2 4
3 4","NO","4 3
1 2
2 3
3 4","YES","1 2
1 1
1 1","NO","3 1
3 3","NO","5 1
4 5","NO","2 1
2 2","NO"
