"id","name","division","category","background","task","input_format","constraints","sample_input","sample_output","test1_input","test1_output","test2_input","test2_output","test3_input","test3_output","test4_input","test4_output","test5_input","test5_output","test6_input","test6_output","test7_input","test7_output","test8_input","test8_output","test9_input","test9_output","test10_input","test10_output","test11_input","test11_output","test12_input","test12_output"
"D-007-2","Tree Distance Totals Planner","Diamond","Trees","The distance between two tree nodes is the number of edges on their unique connecting path.","For nodes 1 through N, print each node’s sum of distances to all nodes. Print only the required result.","Line 1: N.
Next N-1 lines: undirected edge u v.","1 <= N <= 200000
node labels: 1 to N","1
","0","1
","0","2
1 2","1 1","3
1 2
2 3","3 2 3","4
1 2
1 3
1 4","3 5 5 5","4
1 2
2 3
3 4","6 4 4 6","5
1 2
2 3
2 4
4 5","8 5 8 6 9","3
1 2
1 3","2 3 3","5
1 2
1 3
3 4
3 5","6 9 5 8 8","6
1 2
2 3
2 4
4 5
1 6","9 7 11 9 13 13","4
1 2
1 3
2 4","4 4 6 6","6
1 2
2 3
1 4
2 5
5 6","9 7 11 13 9 13","6
1 2
1 3
3 4
3 5
4 6","9 13 7 9 11 13"
"D-007-3","Tree Distance Totals Checkpoint","Diamond","Trees","The distance between two tree nodes is the number of edges on their unique connecting path.","For nodes 1 through N, print each node’s sum of distances to all nodes. Treat each input as one independent scenario.","Line 1: N.
Next N-1 lines: undirected edge u v.","1 <= N <= 200000
node labels: 1 to N","1
","0","1
","0","2
1 2","1 1","3
1 2
2 3","3 2 3","4
1 2
1 3
1 4","3 5 5 5","4
1 2
2 3
3 4","6 4 4 6","5
1 2
2 3
2 4
4 5","8 5 8 6 9","3
1 2
1 3","2 3 3","5
1 2
1 3
3 4
3 5","6 9 5 8 8","4
1 2
1 3
2 4","4 4 6 6","6
1 2
1 3
3 4
4 5
3 6","9 13 7 9 13 11","6
1 2
1 3
2 4
3 5
2 6","8 8 10 12 14 12","6
1 2
1 3
2 4
4 5
2 6","9 7 13 9 13 11"
"D-007-4","Tree Distance Totals Tracker","Diamond","Trees","The distance between two tree nodes is the number of edges on their unique connecting path.","For nodes 1 through N, print each node’s sum of distances to all nodes. Keep the input and output format exact.","Line 1: N.
Next N-1 lines: undirected edge u v.","1 <= N <= 200000
node labels: 1 to N","1
","0","1
","0","2
1 2","1 1","3
1 2
2 3","3 2 3","4
1 2
1 3
1 4","3 5 5 5","4
1 2
2 3
3 4","6 4 4 6","5
1 2
2 3
2 4
4 5","8 5 8 6 9","3
1 2
1 3","2 3 3","5
1 2
1 3
3 4
3 5","6 9 5 8 8","6
1 2
2 3
1 4
3 5
4 6","9 9 11 11 15 15","4
1 2
1 3
3 4","4 6 4 6","6
1 2
1 3
3 4
3 5
3 6","8 12 6 10 10 10","4
1 2
2 3
2 4","5 3 5 5"
"D-007-5","Tree Distance Totals Verifier","Diamond","Trees","The distance between two tree nodes is the number of edges on their unique connecting path.","For nodes 1 through N, print each node’s sum of distances to all nodes. Use the same definition for all tests.","Line 1: N.
Next N-1 lines: undirected edge u v.","1 <= N <= 200000
node labels: 1 to N","1
","0","1
","0","2
1 2","1 1","3
1 2
2 3","3 2 3","4
1 2
1 3
1 4","3 5 5 5","4
1 2
2 3
3 4","6 4 4 6","5
1 2
2 3
2 4
4 5","8 5 8 6 9","3
1 2
1 3","2 3 3","5
1 2
1 3
3 4
3 5","6 9 5 8 8","6
1 2
2 3
2 4
3 5
1 6","9 7 9 11 13 13","6
1 2
2 3
1 4
2 5
4 6","8 8 12 10 12 14","4
1 2
1 3
2 4","4 4 6 6","6
1 2
1 3
2 4
3 5
5 6","9 11 9 15 11 15"
"D-008-1","Ancestor Meeting Queries","Diamond","Trees","Root the tree at node 1. The lowest common ancestor of two nodes is their deepest shared ancestor.","Answer every query by printing the lowest common ancestor. Follow every stated tie rule.","Line 1: N Q.
Next N-1 lines: tree edges.
Next Q lines: query nodes a b.","1 <= N,Q <= 200000
node labels: 1 to N","2 2
1 2
1 2
2 2","1
2","2 2
1 2
1 2
2 2","1
2","3 2
1 2
1 3
2 3
1 2","1
1","4 2
1 2
2 3
2 4
3 4
3 2","2
2","5 2
1 2
1 3
3 4
3 5
4 5
2 4","3
1","1 1
1 1","1","4 2
1 2
1 3
3 4
2 4
3 4","1
3","5 2
1 2
2 3
3 4
4 5
4 5
2 5","4
2","6 2
1 2
1 3
2 4
2 5
3 6
4 5
4 6","2
1","1 2
1 1
1 1","1
1","2 2
1 2
1 2
1 2","1
1","4 2
1 2
2 3
2 4
3 1
1 2","1
1","6 2
1 2
1 3
1 4
4 5
1 6
3 3
4 6","3
1"
"D-008-2","Ancestor Meeting Queries Planner","Diamond","Trees","Root the tree at node 1. The lowest common ancestor of two nodes is their deepest shared ancestor.","Answer every query by printing the lowest common ancestor. Print only the required result.","Line 1: N Q.
Next N-1 lines: tree edges.
Next Q lines: query nodes a b.","1 <= N,Q <= 200000
node labels: 1 to N","2 2
1 2
1 2
2 2","1
2","2 2
1 2
1 2
2 2","1
2","3 2
1 2
1 3
2 3
1 2","1
1","4 2
1 2
2 3
2 4
3 4
3 2","2
2","5 2
1 2
1 3
3 4
3 5
4 5
2 4","3
1","1 1
1 1","1","4 2
1 2
1 3
3 4
2 4
3 4","1
3","5 2
1 2
2 3
3 4
4 5
4 5
2 5","4
2","6 2
1 2
1 3
2 4
2 5
3 6
4 5
4 6","2
1","1 2
1 1
1 1","1
1","2 2
1 2
1 1
2 1","1
1","4 2
1 2
1 3
2 4
3 1
1 1","1
1","6 2
1 2
1 3
1 4
2 5
2 6
1 4
4 3","1
1"
"D-008-3","Ancestor Meeting Queries Checkpoint","Diamond","Trees","Root the tree at node 1. The lowest common ancestor of two nodes is their deepest shared ancestor.","Answer every query by printing the lowest common ancestor. Treat each input as one independent scenario.","Line 1: N Q.
Next N-1 lines: tree edges.
Next Q lines: query nodes a b.","1 <= N,Q <= 200000
node labels: 1 to N","2 2
1 2
1 2
2 2","1
2","2 2
1 2
1 2
2 2","1
2","3 2
1 2
1 3
2 3
1 2","1
1","4 2
1 2
2 3
2 4
3 4
3 2","2
2","5 2
1 2
1 3
3 4
3 5
4 5
2 4","3
1","1 1
1 1","1","4 2
1 2
1 3
3 4
2 4
3 4","1
3","5 2
1 2
2 3
3 4
4 5
4 5
2 5","4
2","6 2
1 2
1 3
2 4
2 5
3 6
4 5
4 6","2
1","1 2
1 1
1 1","1
1","2 2
1 2
2 1
2 2","1
2","4 2
1 2
2 3
3 4
1 4
3 3","1
3","6 2
1 2
1 3
2 4
1 5
4 6
2 4
5 1","2
1"
"D-008-4","Ancestor Meeting Queries Tracker","Diamond","Trees","Root the tree at node 1. The lowest common ancestor of two nodes is their deepest shared ancestor.","Answer every query by printing the lowest common ancestor. Keep the input and output format exact.","Line 1: N Q.
Next N-1 lines: tree edges.
Next Q lines: query nodes a b.","1 <= N,Q <= 200000
node labels: 1 to N","2 2
1 2
1 2
2 2","1
2","2 2
1 2
1 2
2 2","1
2","3 2
1 2
1 3
2 3
1 2","1
1","4 2
1 2
2 3
2 4
3 4
3 2","2
2","5 2
1 2
1 3
3 4
3 5
4 5
2 4","3
1","1 1
1 1","1","4 2
1 2
1 3
3 4
2 4
3 4","1
3","5 2
1 2
2 3
3 4
4 5
4 5
2 5","4
2","6 2
1 2
1 3
2 4
2 5
3 6
4 5
4 6","2
1","1 2
1 1
1 1","1
1","2 2
1 2
2 2
2 1","2
1","4 2
1 2
1 3
1 4
3 4
4 3","1
1","6 2
1 2
1 3
3 4
1 5
3 6
6 3
2 4","3
1"
"D-008-5","Ancestor Meeting Queries Verifier","Diamond","Trees","Root the tree at node 1. The lowest common ancestor of two nodes is their deepest shared ancestor.","Answer every query by printing the lowest common ancestor. Use the same definition for all tests.","Line 1: N Q.
Next N-1 lines: tree edges.
Next Q lines: query nodes a b.","1 <= N,Q <= 200000
node labels: 1 to N","2 2
1 2
1 2
2 2","1
2","2 2
1 2
1 2
2 2","1
2","3 2
1 2
1 3
2 3
1 2","1
1","4 2
1 2
2 3
2 4
3 4
3 2","2
2","5 2
1 2
1 3
3 4
3 5
4 5
2 4","3
1","1 1
1 1","1","4 2
1 2
1 3
3 4
2 4
3 4","1
3","5 2
1 2
2 3
3 4
4 5
4 5
2 5","4
2","6 2
1 2
1 3
2 4
2 5
3 6
4 5
4 6","2
1","1 2
1 1
1 1","1
1","2 2
1 2
1 1
1 2","1
1","4 2
1 2
2 3
2 4
3 2
1 1","2
1","6 2
1 2
1 3
1 4
3 5
3 6
3 6
1 1","3
1"
"D-009-1","Dynamic Range Sums","Diamond","Fenwick Tree","An update adds a value to one position. A range-sum query asks for the inclusive total between two positions.","For each type-2 query, print the inclusive range sum. Follow every stated tie rule.","Line 1: N Q.
Line 2: N integers.
Next Q lines: 1 index delta or 2 left right.","1 <= N,Q <= 200000
indices are 1-based
use 64-bit sums","1 2
1
1 1 5
2 1 1","6","1 2
1
1 1 5
2 1 1","6","3 3
1 2 3
2 1 3
1 2 5
2 2 3","6
10","2 2
0 0
1 1 -1
2 1 2","-1","3 3
5 5 5
2 1 2
1 3 -2
2 2 3","10
8","4 2
1 1 1 1
1 4 10
2 1 4","14","3 1
2 4 6
2 2 2","4","3 3
0 1 0
1 1 3
1 3 4
2 1 3","8","2 2
9 8
1 2 1
2 1 2","18","1 3
-1
2 1 1
1 1 1
1 1 -4","-1","2 3
6 8
1 1 1
1 1 -2
2 1 2","13","3 2
9 -4 7
2 3 3
2 1 2","7
5","4 3
0 -2 3 0
1 4 -5
1 3 0
1 2 -1",""
"D-009-2","Dynamic Range Sums Planner","Diamond","Fenwick Tree","An update adds a value to one position. A range-sum query asks for the inclusive total between two positions.","For each type-2 query, print the inclusive range sum. Print only the required result.","Line 1: N Q.
Line 2: N integers.
Next Q lines: 1 index delta or 2 left right.","1 <= N,Q <= 200000
indices are 1-based
use 64-bit sums","1 2
1
1 1 5
2 1 1","6","1 2
1
1 1 5
2 1 1","6","3 3
1 2 3
2 1 3
1 2 5
2 2 3","6
10","2 2
0 0
1 1 -1
2 1 2","-1","3 3
5 5 5
2 1 2
1 3 -2
2 2 3","10
8","4 2
1 1 1 1
1 4 10
2 1 4","14","3 1
2 4 6
2 2 2","4","3 3
0 1 0
1 1 3
1 3 4
2 1 3","8","2 2
9 8
1 2 1
2 1 2","18","1 3
7
2 1 1
2 1 1
1 1 0","7
7","2 2
-5 -1
1 1 1
1 1 3","","3 1
4 3 1
2 3 3","1","4 1
-1 -4 -3 2
2 4 4","2"
"D-009-3","Dynamic Range Sums Checkpoint","Diamond","Fenwick Tree","An update adds a value to one position. A range-sum query asks for the inclusive total between two positions.","For each type-2 query, print the inclusive range sum. Treat each input as one independent scenario.","Line 1: N Q.
Line 2: N integers.
Next Q lines: 1 index delta or 2 left right.","1 <= N,Q <= 200000
indices are 1-based
use 64-bit sums","1 2
1
1 1 5
2 1 1","6","1 2
1
1 1 5
2 1 1","6","3 3
1 2 3
2 1 3
1 2 5
2 2 3","6
10","2 2
0 0
1 1 -1
2 1 2","-1","3 3
5 5 5
2 1 2
1 3 -2
2 2 3","10
8","4 2
1 1 1 1
1 4 10
2 1 4","14","3 1
2 4 6
2 2 2","4","3 3
0 1 0
1 1 3
1 3 4
2 1 3","8","2 2
9 8
1 2 1
2 1 2","18","1 3
-5
2 1 1
1 1 5
2 1 1","-5
0","2 3
5 6
1 1 5
1 1 4
2 1 2","20","3 1
5 -1 0
2 2 3","-1","4 1
7 0 3 4
2 4 4","4"
"D-009-4","Dynamic Range Sums Tracker","Diamond","Fenwick Tree","An update adds a value to one position. A range-sum query asks for the inclusive total between two positions.","For each type-2 query, print the inclusive range sum. Keep the input and output format exact.","Line 1: N Q.
Line 2: N integers.
Next Q lines: 1 index delta or 2 left right.","1 <= N,Q <= 200000
indices are 1-based
use 64-bit sums","1 2
1
1 1 5
2 1 1","6","1 2
1
1 1 5
2 1 1","6","3 3
1 2 3
2 1 3
1 2 5
2 2 3","6
10","2 2
0 0
1 1 -1
2 1 2","-1","3 3
5 5 5
2 1 2
1 3 -2
2 2 3","10
8","4 2
1 1 1 1
1 4 10
2 1 4","14","3 1
2 4 6
2 2 2","4","3 3
0 1 0
1 1 3
1 3 4
2 1 3","8","2 2
9 8
1 2 1
2 1 2","18","1 3
1
1 1 1
2 1 1
2 1 1","2
2","2 1
3 9
2 2 2","9","3 1
8 -3 0
2 3 3","0","4 2
3 -5 -5 -2
1 1 -5
2 2 4","-12"
"D-009-5","Dynamic Range Sums Verifier","Diamond","Fenwick Tree","An update adds a value to one position. A range-sum query asks for the inclusive total between two positions.","For each type-2 query, print the inclusive range sum. Use the same definition for all tests.","Line 1: N Q.
Line 2: N integers.
Next Q lines: 1 index delta or 2 left right.","1 <= N,Q <= 200000
indices are 1-based
use 64-bit sums","1 2
1
1 1 5
2 1 1","6","1 2
1
1 1 5
2 1 1","6","3 3
1 2 3
2 1 3
1 2 5
2 2 3","6
10","2 2
0 0
1 1 -1
2 1 2","-1","3 3
5 5 5
2 1 2
1 3 -2
2 2 3","10
8","4 2
1 1 1 1
1 4 10
2 1 4","14","3 1
2 4 6
2 2 2","4","3 3
0 1 0
1 1 3
1 3 4
2 1 3","8","2 2
9 8
1 2 1
2 1 2","18","1 1
0
1 1 5","","2 3
-5 1
2 1 1
1 2 -2
1 2 5","-5","3 2
3 2 9
2 3 3
2 2 3","9
11","4 2
4 4 6 7
1 2 -3
2 2 4","14"
"D-010-1","Out-of-Order Pair Count","Diamond","Fenwick Tree","An inversion is a pair of positions i < j where the earlier value is larger than the later value. Equal values are not inversions.","Print the number of inversions. Follow every stated tie rule.","Line 1: N.
Line 2: N integers.","1 <= N <= 200000
values: -10^9 to 10^9
count may require 64-bit","1
1","0","1
1","0","2
2 1","1","3
3 1 2","2","3
1 1 1","0","5
5 4 3 2 1","10","3
-1 3 0","1","5
2 4 1 3 5","3","5
3 3 2 2 1","8","1
-2","0","3
1 5 3","1","5
-4 -3 4 2 -5","5","7
-5 1 -3 0 1 3 1","3"
"D-010-2","Out-of-Order Pair Count Planner","Diamond","Fenwick Tree","An inversion is a pair of positions i < j where the earlier value is larger than the later value. Equal values are not inversions.","Print the number of inversions. Print only the required result.","Line 1: N.
Line 2: N integers.","1 <= N <= 200000
values: -10^9 to 10^9
count may require 64-bit","1
1","0","1
1","0","2
2 1","1","3
3 1 2","2","3
1 1 1","0","5
5 4 3 2 1","10","3
-1 3 0","1","5
2 4 1 3 5","3","5
3 3 2 2 1","8","1
-4","0","3
5 1 3","2","5
5 5 2 4 -3","8","7
3 0 -5 1 -1 -2 5","11"
"D-010-3","Out-of-Order Pair Count Checkpoint","Diamond","Fenwick Tree","An inversion is a pair of positions i < j where the earlier value is larger than the later value. Equal values are not inversions.","Print the number of inversions. Treat each input as one independent scenario.","Line 1: N.
Line 2: N integers.","1 <= N <= 200000
values: -10^9 to 10^9
count may require 64-bit","1
1","0","1
1","0","2
2 1","1","3
3 1 2","2","3
1 1 1","0","5
5 4 3 2 1","10","3
-1 3 0","1","5
2 4 1 3 5","3","5
3 3 2 2 1","8","1
4","0","3
-2 2 -3","2","5
3 5 1 2 -2","8","7
-5 0 4 3 0 -1 5","7"
"D-010-4","Out-of-Order Pair Count Tracker","Diamond","Fenwick Tree","An inversion is a pair of positions i < j where the earlier value is larger than the later value. Equal values are not inversions.","Print the number of inversions. Keep the input and output format exact.","Line 1: N.
Line 2: N integers.","1 <= N <= 200000
values: -10^9 to 10^9
count may require 64-bit","1
1","0","1
1","0","2
2 1","1","3
3 1 2","2","3
1 1 1","0","5
5 4 3 2 1","10","3
-1 3 0","1","5
2 4 1 3 5","3","5
3 3 2 2 1","8","1
-3","0","3
-4 -4 -3","0","5
2 2 -3 2 -3","5","7
-5 -1 -1 4 -4 -4 5","6"
"D-010-5","Out-of-Order Pair Count Verifier","Diamond","Fenwick Tree","An inversion is a pair of positions i < j where the earlier value is larger than the later value. Equal values are not inversions.","Print the number of inversions. Use the same definition for all tests.","Line 1: N.
Line 2: N integers.","1 <= N <= 200000
values: -10^9 to 10^9
count may require 64-bit","1
1","0","1
1","0","2
2 1","1","3
3 1 2","2","3
1 1 1","0","5
5 4 3 2 1","10","3
-1 3 0","1","5
2 4 1 3 5","3","5
3 3 2 2 1","8","1
4","0","3
3 2 -4","3","5
2 0 1 1 -2","7","7
4 4 -2 -4 1 -1 2","12"
"D-011-1","Later Smaller Counts","Diamond","Fenwick Tree","For each position, look only to the right. Count later values that are strictly smaller than the current value.","Print one count for every position. Follow every stated tie rule.","Line 1: N.
Line 2: N integers.","1 <= N <= 200000
values: -10^9 to 10^9","1
1","0","1
1","0","2
2 1","1 0","3
3 1 2","2 0 0","3
1 1 1","0 0 0","5
5 4 3 2 1","4 3 2 1 0","3
-1 3 0","0 1 0","5
2 4 1 3 5","1 2 0 0 0","5
3 3 2 2 1","3 3 1 1 0","1
-3","0","3
5 2 -2","2 1 0","5
4 1 -3 2 1","4 1 0 1 0","7
-1 2 4 5 -4 3 -5","2 2 3 3 1 1 0"
"D-011-2","Later Smaller Counts Planner","Diamond","Fenwick Tree","For each position, look only to the right. Count later values that are strictly smaller than the current value.","Print one count for every position. Print only the required result.","Line 1: N.
Line 2: N integers.","1 <= N <= 200000
values: -10^9 to 10^9","1
1","0","1
1","0","2
2 1","1 0","3
3 1 2","2 0 0","3
1 1 1","0 0 0","5
5 4 3 2 1","4 3 2 1 0","3
-1 3 0","0 1 0","5
2 4 1 3 5","1 2 0 0 0","5
3 3 2 2 1","3 3 1 1 0","1
3","0","3
0 -2 1","1 0 0","5
-5 -1 -1 3 -2","0 1 1 1 0","7
1 4 5 2 -1 -2 -2","3 4 4 3 2 0 0"
"D-011-3","Later Smaller Counts Checkpoint","Diamond","Fenwick Tree","For each position, look only to the right. Count later values that are strictly smaller than the current value.","Print one count for every position. Treat each input as one independent scenario.","Line 1: N.
Line 2: N integers.","1 <= N <= 200000
values: -10^9 to 10^9","1
1","0","1
1","0","2
2 1","1 0","3
3 1 2","2 0 0","3
1 1 1","0 0 0","5
5 4 3 2 1","4 3 2 1 0","3
-1 3 0","0 1 0","5
2 4 1 3 5","1 2 0 0 0","5
3 3 2 2 1","3 3 1 1 0","1
5","0","3
3 2 -5","2 1 0","5
-3 5 0 4 4","0 3 0 0 0","7
4 0 0 1 0 5 0","5 0 0 2 0 1 0"
"D-011-4","Later Smaller Counts Tracker","Diamond","Fenwick Tree","For each position, look only to the right. Count later values that are strictly smaller than the current value.","Print one count for every position. Keep the input and output format exact.","Line 1: N.
Line 2: N integers.","1 <= N <= 200000
values: -10^9 to 10^9","1
1","0","1
1","0","2
2 1","1 0","3
3 1 2","2 0 0","3
1 1 1","0 0 0","5
5 4 3 2 1","4 3 2 1 0","3
-1 3 0","0 1 0","5
2 4 1 3 5","1 2 0 0 0","5
3 3 2 2 1","3 3 1 1 0","1
-5","0","3
1 5 1","0 1 0","5
5 5 0 -2 -4","3 3 2 1 0","7
2 -1 -5 5 0 0 5","4 1 0 2 0 0 0"
"D-011-5","Later Smaller Counts Verifier","Diamond","Fenwick Tree","For each position, look only to the right. Count later values that are strictly smaller than the current value.","Print one count for every position. Use the same definition for all tests.","Line 1: N.
Line 2: N integers.","1 <= N <= 200000
values: -10^9 to 10^9","1
1","0","1
1","0","2
2 1","1 0","3
3 1 2","2 0 0","3
1 1 1","0 0 0","5
5 4 3 2 1","4 3 2 1 0","3
-1 3 0","0 1 0","5
2 4 1 3 5","1 2 0 0 0","5
3 3 2 2 1","3 3 1 1 0","1
-3","0","3
-3 1 -5","1 1 0","5
3 -3 2 -5 -2","4 1 2 0 0","7
5 -2 3 4 0 4 0","6 0 2 2 0 1 0"
"D-012-1","Axis Segment Intersection Count","Diamond","Sweep Line","A horizontal segment is given by x1 x2 y and includes every point from x1 through x2. A vertical segment x y1 y2 includes its endpoints.","Count intersections between one horizontal and one vertical segment. Follow every stated tie rule.","Line 1: H V.
Next H lines: x1 x2 y.
Next V lines: x y1 y2.","0 <= H,V <= 200000
endpoints are inclusive
coordinates: -10^9 to 10^9","0 0
","0","0 0
","0","1 1
0 2 1
1 0 2","1","2 1
0 5 1
1 4 3
2 0 4","2","1 1
0 1 0
2 0 1","0","2 2
0 5 2
2 6 4
3 1 5
5 0 3","3","2 1
1 3 1
1 3 2
2 0 3","2","1 1
-2 2 0
0 -1 1","1","1 3
0 10 5
1 5 5
2 5 5
3 0 4","2","1 1
4 4 1
2 -1 4","0","2 1
-4 0 -1
-2 -1 2
-4 3 7","0","2 3
0 2 -1
-5 0 -1
1 -5 1
1 -4 -3
4 -5 -1","1","1 1
-1 2 4
1 4 4","1"
"D-012-2","Axis Segment Intersection Count Planner","Diamond","Sweep Line","A horizontal segment is given by x1 x2 y and includes every point from x1 through x2. A vertical segment x y1 y2 includes its endpoints.","Count intersections between one horizontal and one vertical segment. Print only the required result.","Line 1: H V.
Next H lines: x1 x2 y.
Next V lines: x y1 y2.","0 <= H,V <= 200000
endpoints are inclusive
coordinates: -10^9 to 10^9","0 0
","0","0 0
","0","1 1
0 2 1
1 0 2","1","2 1
0 5 1
1 4 3
2 0 4","2","1 1
0 1 0
2 0 1","0","2 2
0 5 2
2 6 4
3 1 5
5 0 3","3","2 1
1 3 1
1 3 2
2 0 3","2","1 1
-2 2 0
0 -1 1","1","1 3
0 10 5
1 5 5
2 5 5
3 0 4","2","1 1
3 8 3
-5 -4 -3","0","2 1
4 8 0
5 11 2
4 2 7","0","2 3
4 8 4
0 3 -5
-4 -4 -2
-2 5 9
3 0 6","0","1 1
-4 -1 4
-5 -2 4","0"
"D-012-3","Axis Segment Intersection Count Checkpoint","Diamond","Sweep Line","A horizontal segment is given by x1 x2 y and includes every point from x1 through x2. A vertical segment x y1 y2 includes its endpoints.","Count intersections between one horizontal and one vertical segment. Treat each input as one independent scenario.","Line 1: H V.
Next H lines: x1 x2 y.
Next V lines: x y1 y2.","0 <= H,V <= 200000
endpoints are inclusive
coordinates: -10^9 to 10^9","0 0
","0","0 0
","0","1 1
0 2 1
1 0 2","1","2 1
0 5 1
1 4 3
2 0 4","2","1 1
0 1 0
2 0 1","0","2 2
0 5 2
2 6 4
3 1 5
5 0 3","3","2 1
1 3 1
1 3 2
2 0 3","2","1 1
-2 2 0
0 -1 1","1","1 3
0 10 5
1 5 5
2 5 5
3 0 4","2","1 1
4 9 2
-3 -5 -3","0","2 1
3 9 4
0 4 -4
4 -2 2","0","2 3
5 6 2
4 8 -3
2 2 6
0 -2 -1
1 0 2","0","1 1
-3 0 1
3 -5 0","0"
"D-012-4","Axis Segment Intersection Count Tracker","Diamond","Sweep Line","A horizontal segment is given by x1 x2 y and includes every point from x1 through x2. A vertical segment x y1 y2 includes its endpoints.","Count intersections between one horizontal and one vertical segment. Keep the input and output format exact.","Line 1: H V.
Next H lines: x1 x2 y.
Next V lines: x y1 y2.","0 <= H,V <= 200000
endpoints are inclusive
coordinates: -10^9 to 10^9","0 0
","0","0 0
","0","1 1
0 2 1
1 0 2","1","2 1
0 5 1
1 4 3
2 0 4","2","1 1
0 1 0
2 0 1","0","2 2
0 5 2
2 6 4
3 1 5
5 0 3","3","2 1
1 3 1
1 3 2
2 0 3","2","1 1
-2 2 0
0 -1 1","1","1 3
0 10 5
1 5 5
2 5 5
3 0 4","2","1 1
-5 0 -2
2 2 4","0","2 1
-4 0 -1
4 5 -4
3 3 6","0","2 3
-4 -4 3
5 11 3
5 0 4
-4 0 3
-4 2 3","3","1 1
3 4 -1
-4 0 2","0"
"D-012-5","Axis Segment Intersection Count Verifier","Diamond","Sweep Line","A horizontal segment is given by x1 x2 y and includes every point from x1 through x2. A vertical segment x y1 y2 includes its endpoints.","Count intersections between one horizontal and one vertical segment. Use the same definition for all tests.","Line 1: H V.
Next H lines: x1 x2 y.
Next V lines: x y1 y2.","0 <= H,V <= 200000
endpoints are inclusive
coordinates: -10^9 to 10^9","0 0
","0","0 0
","0","1 1
0 2 1
1 0 2","1","2 1
0 5 1
1 4 3
2 0 4","2","1 1
0 1 0
2 0 1","0","2 2
0 5 2
2 6 4
3 1 5
5 0 3","3","2 1
1 3 1
1 3 2
2 0 3","2","1 1
-2 2 0
0 -1 1","1","1 3
0 10 5
1 5 5
2 5 5
3 0 4","2","1 1
-4 2 0
-2 -2 1","1","2 1
-2 0 -4
-2 -1 -2
-3 2 6","0","2 3
-3 2 2
-1 5 -3
1 -2 -1
-2 0 0
4 0 0","0","1 1
3 4 -5
4 -2 -2","0"
"D-013-1","Window Maximum Stream","Diamond","Monotonic Deque","A window is a consecutive block of exactly K values. As it moves one step, one value leaves and one may enter.","Print the maximum for every length-K window from left to right. Follow every stated tie rule.","Line 1: N K.
Line 2: N integers.","1 <= K <= N <= 200000
values: -10^9 to 10^9","1 1
1","1","1 1
1","1","3 2
1 2 3","2 3","8 3
1 3 -1 -3 5 3 6 7","3 3 5 5 6 7","3 2
5 5 5","5 5","3 2
-1 -2 -3","-1 -2","5 4
9 1 8 2 7","9 8","4 1
0 0 1 0","0 0 1 0","6 3
4 2 12 3 8 7","12 12 12 8","1 1
-4","-4","3 1
1 -7 3","1 -7 3","5 3
-8 -4 1 3 3","1 3 3","7 2
-9 -6 9 -4 2 1 -7","-6 9 9 2 2 1"
"D-013-2","Window Maximum Stream Planner","Diamond","Monotonic Deque","A window is a consecutive block of exactly K values. As it moves one step, one value leaves and one may enter.","Print the maximum for every length-K window from left to right. Print only the required result.","Line 1: N K.
Line 2: N integers.","1 <= K <= N <= 200000
values: -10^9 to 10^9","1 1
1","1","1 1
1","1","3 2
1 2 3","2 3","8 3
1 3 -1 -3 5 3 6 7","3 3 5 5 6 7","3 2
5 5 5","5 5","3 2
-1 -2 -3","-1 -2","5 4
9 1 8 2 7","9 8","4 1
0 0 1 0","0 0 1 0","6 3
4 2 12 3 8 7","12 12 12 8","1 1
-3","-3","3 1
-1 -6 -4","-1 -6 -4","5 2
8 5 2 -9 6","8 5 2 6","7 4
9 8 9 -7 -1 -8 8","9 9 9 8"
"D-013-3","Window Maximum Stream Checkpoint","Diamond","Monotonic Deque","A window is a consecutive block of exactly K values. As it moves one step, one value leaves and one may enter.","Print the maximum for every length-K window from left to right. Treat each input as one independent scenario.","Line 1: N K.
Line 2: N integers.","1 <= K <= N <= 200000
values: -10^9 to 10^9","1 1
1","1","1 1
1","1","3 2
1 2 3","2 3","8 3
1 3 -1 -3 5 3 6 7","3 3 5 5 6 7","3 2
5 5 5","5 5","3 2
-1 -2 -3","-1 -2","5 4
9 1 8 2 7","9 8","4 1
0 0 1 0","0 0 1 0","6 3
4 2 12 3 8 7","12 12 12 8","1 1
-2","-2","3 1
-7 4 4","-7 4 4","5 4
-2 2 3 -1 -7","3 3","7 7
4 5 2 -5 -4 -4 6","6"
"D-013-4","Window Maximum Stream Tracker","Diamond","Monotonic Deque","A window is a consecutive block of exactly K values. As it moves one step, one value leaves and one may enter.","Print the maximum for every length-K window from left to right. Keep the input and output format exact.","Line 1: N K.
Line 2: N integers.","1 <= K <= N <= 200000
values: -10^9 to 10^9","1 1
1","1","1 1
1","1","3 2
1 2 3","2 3","8 3
1 3 -1 -3 5 3 6 7","3 3 5 5 6 7","3 2
5 5 5","5 5","3 2
-1 -2 -3","-1 -2","5 4
9 1 8 2 7","9 8","4 1
0 0 1 0","0 0 1 0","6 3
4 2 12 3 8 7","12 12 12 8","1 1
7","7","3 2
8 -5 -6","8 -5","5 1
-5 4 2 -1 -1","-5 4 2 -1 -1","7 4
4 1 -7 -5 -1 6 -8","4 1 6 6"
